No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
232	Barium chloride	BaCl2	10361-37-2	208.232	wh orth cry; hyg	962	1560	3.9	37.025		
233	Barium chloride dihydrate	BaCl2  2H2O	10326-27-9	244.263	wh monocl cry	120 dec		3.097	37.025	i EtOH	
234	Barium chromate(V)	Ba3(CrO4)2	12345-14-1	643.968	grn-blk hex cry			5.25		s H2O	
235	Barium chromate(VI)	BaCrO4	10294-40-3	253.321	yel orth cry	1380		4.5	0.000262	reac acid	
236	Barium citrate monohydrate	Ba3(C6H5O7)2  H2O	512-25-4*	808.195	gray-wh cry					s H2O, acid	
237	Barium copper yttrium oxide	BaCuY2O5	82642-06-6	458.682	grn cry; not superconductor						
238	Barium copper yttrium oxide	Ba2Cu3YO7	109064-29-1	666.194	blk solid; HT superconductor						
239	Barium copper yttrium oxide	Ba2Cu4YO8	114104-80-2	745.739	HT superconductor						
240	Barium copper yttrium oxide	Ba4Cu7Y2O15	124365-83-9	1411.933	HT superconductor						
241	Barium cyanide	Ba(CN)2	542-62-1	189.361	wh cry powder					vs H2O; s EtOH	
242	Barium dichromate dihydrate	BaCr2O7  2H2O	10031-16-0	389.346	brn-red needles	dec				reac H2O	
243	Barium dithionate dihydrate	BaS2O6  2H2O	13845-17-5	333.486	wh cry	140 dec		4.54	22.12	sl EtOH	
244	Barium ferrocyanide hexahydrate	Ba2Fe(CN)6  6H2O	13821-06-2*	594.694	yel monocl cry	80 dec				i H2O, EtOH	
245	Barium fluoride	BaF2	7787-32-8	175.324	wh cub cry	1368	2260	4.893	0.16125		
246	Barium formate	Ba(CHO2)2	541-43-5	227.362	cry			3.21		s H2O; i EtOH	
247	Barium hexaboride	BaB6	12046-08-1	202.193	blk cub cry	2070		4.36		i H2O; s acid; i EtOH	
248	Barium hexafluorosilicate	BaSiF6	17125-80-3	279.403	wh orth needles	300 dec		4.29		i H2O, EtOH; sl acid	
249	Barium hydride	BaH2	13477-09-3	139.343	gray orth cry	1200		4.16		reac H2O	
250	Barium hydrogen phosphate	BaHPO4	10048-98-3	233.306	wh cry powder	400 dec		4.16	0.0152	s dil acid	
251	Barium hydrosulfide	Ba(HS)2	25417-81-6	203.475	yel hyg cry					s H2O	
252	Barium hydrosulfide tetrahydrate	Ba(HS)2  4H2O	12230-74-9	275.536	yel rhomb cry	50 dec				s H2O	
253	Barium hydroxide	Ba(OH)2	17194-00-2	171.342	wh powder	408			4.9125		
254	Barium hydroxide monohydrate	Ba(OH)2  H2O	22326-55-2	189.357	wh powder			3.743	4.9125	s acid	
255	Barium hydroxide octahydrate	Ba(OH)2  8H2O	12230-71-6	315.464	wh monocl cry	78 dec		2.18	4.9125		
256	Barium hypophosphite monohydrate	Ba(H2PO2)2  H2O	14871-79-5*	285.32	monocl plates			2.9		s H2O; i EtOH	
257	Barium iodate	Ba(IO3)2	10567-69-8	487.132	wh cry powder	476 dec		5.23	0.039625		
258	Barium iodate monohydrate	Ba(IO3)2  H2O	7787-34-0	505.148	cry	130 dec		5	0.039625	s acid; i EtOH	
259	Barium iodide	BaI2	13718-50-8	391.136	wh orth cry	711		5.15	22125		
260	Barium iodide dihydrate	BaI2  2H2O	7787-33-9	427.167	col cry	740 dec		5	22125	s EtOH, ace	
261	Barium manganate(VI)	BaMnO4	7787-35-1	256.263	grn-gray hyg cry			4.85	0.000412		
262	Barium metaborate monohydrate	Ba(BO2)2  H2O	26124-86-7	240.962	wh powder	>900		3.3		sl H2O	
263	Barium molybdate	BaMoO4	7787-37-3	297.27	wh powder	1450		4.975	0.00212		
264	Barium niobate	Ba(NbO3)2	12009-14-2	419.136	yel orth cry	1455		5.44		i H2O	
265	Barium nitrate	Ba(NO3)2	10022-31-8	261.336	wh cub cry	590		3.24	10.325	sl EtOH, ace	
266	Barium nitride	Ba3N2	12047-79-9	439.994	yel-brn cry	>500 dec		4.78		reac H2O	
267	Barium nitrite	Ba(NO2)2	13465-94-6	229.338	col hex cry	267		3.234	79.525		
268	Barium nitrite monohydrate	Ba(NO2)2  H2O	7787-38-4	247.353	yel-wh hex cry	217 dec		3.18	79.525	i EtOH	
269	Barium oxalate	BaC2O4	516-02-9	225.346	wh powder	400 dec		2.658	0.0075		
270	Barium oxalate monohydrate	BaC2O4  H2O	13463-22-4	243.361	wh cry powder			2.66	0.00752	s acid	
271	Barium oxide	BaO	1304-28-5	153.326	wh-yel powder; cub and hex	1972		5.72(cub)	1.52	s dil acid, EtOH; i ace	
272	Barium perchlorate	Ba(ClO4)2	13465-95-7	336.227	col hex cry	505		3.2	31225	vs EtOH	
273	Barium perchlorate trihydrate	Ba(ClO4)2  3H2O	10294-39-0	390.273	col cry			2.74	31225	s MeOH; sl EtOH, ace; i eth	
274	Barium permanganate	Ba(MnO4)2	7787-36-2	375.198	brn-viol cry	200 dec		3.77	62.52	reac EtOH	
											
275	Barium peroxide	BaO2	1304-29-6	169.326	gray-wh tetr cry	450 dec		4.96	0.0912	reac dil acid	
276	Barium metaphosphate	Ba(PO3)2	13466-20-1	295.271	wh powder	1560				i H2O; sl acid	
277	Barium potassium chromate	BaK2(CrO4)2	27133-66-0	447.511	yel hex cry			3.63		vs H2O	
278	Barium pyrophosphate	Ba2P2O7	13466-21-2	448.597	wh powder	1430		3.9	0.00882	s acid	
279	Barium selenate	BaSeO4	7787-41-9	280.29	wh rhomb cry	dec		4.75	0.0152		
280	Barium selenide	BaSe	1304-39-8	216.29	cub cry powder	1780		5.02		reac H2O	
281	Barium selenite	BaSeO3	13718-59-7	264.29	solid					i H2O	
282	Barium disilicate	BaSi2O5	12650-28-1	273.495	wh orth cry	1420		3.7			
283	Barium metasilicate	BaSiO3	13255-26-0	213.411	col rhomb powder	1605		4.4		i H2O; s acid	
284	Barium silicide	BaSi2	1304-40-1	193.498	gray lumps	1180				reac H2O	
285	Barium sodium niobate	Ba2Na(NbO3)5	12323-03-4	1002.167	wh orth cry	1437		5.4		i H2O	
286	Barium stannate	BaSnO3	12009-18-6	304.035	cub cry			7.24		sl H2O	
287	Barium stannate trihydrate	BaSnO3  3H2O	12009-18-6*	358.081	wh cry powder					sl H2O; s acid	
288	Barium stearate	Ba(C18H35O2)2	6865-35-6	704.266	wh powder	160		1.145		i H2O, EtOH	
289	Barium sulfate	BaSO4	7727-43-7	233.391	wh orth cry	1580		4.49	0.000312	i EtOH	
290	Barium sulfide	BaS	21109-95-5	169.393	col cub cry or gray powder	2229		4.3	8.9425		
291	Barium sulfite	BaSO3	7787-39-5	217.391	wh monocl cry	dec		4.44	0.001125	i EtOH	
292	Barium tartrate	BaC4H4O6	5908-81-6	285.398	wh cry			2.98		s H2O; i EtOH	
293	Barium tetracyanoplatinate(II) tetrahydrate	BaPt(CN)4  4H2O	13755-32-3	508.54	yel powder or cry			2.076		sl H2O; i EtOH	
294	Barium tetraiodomercurate(II)	BaHgI4	10048-99-4	845.54	yel-red hyg cry					vs H2O, EtOH	
295	Barium thiocyanate	Ba(SCN)2	2092-17-3	253.493	hyg cry				16725	s ace, MeOH, EtOH	
296	Barium thiocyanate dihydrate	Ba(SCN)2  2H2O	2092-17-3*	289.524	hyg wh cry				16725	s EtOH	
297	Barium thiocyanate trihydrate	Ba(SCN)2  3H2O	68016-36-4	307.539	wh needles; hyg			2.286	16725	s EtOH	
298	Barium thiosulfate	BaS2O3	35112-53-9	249.457	wh cry powder	220 dec			0.22	i EtOH	
299	Barium thiosulfate monohydrate	BaS2O3  H2O	7787-40-8	267.473	wh cry powder	dec		3.5	0.2	i EtOH	
300	Barium titanate	BaTiO3	12047-27-7	233.192	wh tetr cry	1625		6.02		i H2O	
301	Barium tungstate	BaWO4	7787-42-0	385.17	wh tetr cry	1475	1730	5.04	0.00162		
302	Barium uranium oxide	BaU2O7	10380-31-1	725.381	oran-yel powder					i H2O; s acid	
303	Barium orthovanadate	Ba3(VO4)2	39416-30-3	641.859	hex cry	707		5.14			
304	Barium zirconate	BaZrO3	12009-21-1	276.549	gray-wh cub cry	2500		5.52		i H2O, alk; sl acid	
305	Berkelium ( form)	Bk	7440-40-6	247	hex	1050		14.78			
306	Berkelium ( form)	Bk	7440-40-6	247	cub cry	986		13.25			
307	Beryllium	Be	7440-41-7	9.012	hex	1287	2471	1.85		s acid, alk	
308	Beryllium acetate	Be(C2H3O2)2	543-81-7	127.101	wh cry	60 dec				i H2O, EtOH	
309	Beryllium 2,4-pentanedioate	Be(CH3COCHCOCH3)2	10210-64-7	207.228	monocl cry powder	108	270	1.168		i H2O; vs EtOH, eth	
310	Beryllium aluminate	BeAl2O4	12004-06-7	126.973	orth cry			3.65			
311	Beryllium aluminum metasilicate	Be3Al2(SiO3)6	1302-52-9	537.502	col or grn-yel cry; hex			2.64			
312	Beryllium basic acetate	Be4O(C2H3O2)6	1332-52-1	406.312	wh cry	285	330	1.25		i H2O; s eth, os	
313	Beryllium boride	BeB2	12228-40-9	30.634	refrac solid	>1970					
314	Beryllium borohydride	Be(BH4)2	17440-85-6	36.682	solid	125 dec	subl			reac H2O	
315	Beryllium bromide	BeBr2	7787-46-4	168.82	orth cry; hyg	508	520	3.465		vs H2O; s EtOH, pyr	
316	Beryllium carbide	Be2C	506-66-1	30.035	red cub cry	>2100 dec		1.9		reac H2O	
317	Beryllium carbonate tetrahydrate	BeCO3  4H2O	60883-64-9	93.085	wh solid	100 dec			0.36		
318	Beryllium carbonate, basic	Be3(OH)2(CO3)2	66104-24-3	181.069	wh pow					i H2O; s acid, alk	
319	Beryllium chloride	BeCl2	7787-47-5	79.917	wh-yel orth cry; hyg	415	482	1.9	71.525	s EtOH, eth, py; i bz, tol	
320	Beryllium fluoride	BeF2	7787-49-7	47.009	tetr cry or gl; hyg	552	1169	2.1		vs H2O; sl EtOH	
321	Beryllium formate	Be(CHO2)2	1111-71-3	99.047	powder	>250 dec				reac H2O; i os	
322	Beryllium hydride	BeH2	7787-52-2	11.028	wh amorp solid	250 dec		0.65		reac H2O; i eth, tol	
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
323	Beryllium hydrogen phosphate	BeHPO4	13598-15-7	104.991	cry					i H2O	
324	Beryllium hydroxide	Be(OH)2	13327-32-7	43.027	wh powder or cry	200 dec		1.92		sl H2O, alk; s acid	
325	Beryllium iodide	BeI2	7787-53-3	262.821	hyg needles	470	487	4.32		reac H2O; s EtOH	
326	Beryllium nitrate trihydrate	Be(NO3)2  3H2O	13597-99-4	187.068	yel-wh hyg cry	30	dec		10720	s EtOH	
327	Beryllium nitride	Be3N2	1304-54-7	55.05	gray refrac cry; cub	2200		2.71		reac acid, alk	
328	Beryllium oxide	BeO	1304-56-9	25.011	wh hex cry	2577		3.01		i H2O; sl acid, alk	
329	Beryllium perchlorate tetrahydrate	Be(ClO4)2  4H2O	7787-48-6	279.974	hyg cry	250 dec			19825		
330	Beryllium selenate tetrahydrate	BeSeO4  4H2O	10039-31-3	224.03	orth cry	100 dec		2.03		vs H2O	
331	Beryllium sulfate	BeSO4	13510-49-1	105.076	col tetr cry; hyg	1127		2.5	41.325		
332	Beryllium sulfate tetrahydrate	BeSO4  4H2O	7787-56-6	177.137	col tetr cry	100 dec		1.71	41.325	i EtOH	
333	Beryllium sulfide	BeS	13598-22-6	41.078	col cub cry	dec		2.36		reac hot H2O	
334	Bismuth	Bi	7440-69-9	208.98	gray-wh soft metal	271.402	1564	9.79		s acid	
335	Bismuth arsenate	BiAsO4	13702-38-0	347.9	wh mono cry			7.14		i H2O; sl conc HNO3	
336	Bismuth basic carbonate	(BiO)2CO3	5892-10-4	509.969	wh powder			6.86		i H2O; s acid	
337	Bismuth tribromide	BiBr3	7787-58-8	448.692	yel cub cry	218	453	5.72		reac H2O; s dil acid, ace; i EtOH	
338	Bismuth trichloride	BiCl3	7787-60-2	315.338	yel-wh cub cry; hyg	230	447	4.75		reac H2O; s acid, EtOH, ace	
339	Bismuth citrate	BiC6H5O7	813-93-4	398.08	wh powder			3.458		i H2O; sl EtOH	
340	Bismuth trifluoride	BiF3	7787-61-3	265.975	wh-gray cub cry	725	900	8.3		i H2O	
341	Bismuth pentafluoride	BiF5	7787-62-4	303.972	wh tetr needles; hyg	154	230	5.55		reac H2O	
342	Bismuth hydride	BiH3	18288-22-7	212.004	col gas; unstable	-67	17	8.665 g/L			
343	Bismuth hydroxide	Bi(OH)3	10361-43-0	260.002	wh-yel amorp powder			4.962		i H2O; s acid	
344	Bismuth triiodide	BiI3	7787-64-6	589.693	blk hex cry	408.6	542	5.778	0.000782	s EtOH	
345	Bismuth hexafluoro-2,4-pentanedioate	Bi(CF3COCHCOCF3)3		830.132	pow	96					
346	Bismuth molybdate	Bi2(MoO4)3	51898-99-8	897.77	monocl cry			5.95			
347	Bismuth nitrate pentahydrate	Bi(NO3)3  5H2O	10035-06-0	485.071	col tricl cry; hyg	75 dec		2.83		reac H2O; s ace; i EtOH	
348	Bismuth oleate	Bi(C18H33O2)3	52951-38-9	1053.34	soft yel-brn solid					i H2O; s eth; sl bz	
349	Bismuth oxalate	Bi2(C2O4)3	6591-55-5	682.018	wh powder					i H2O, EtOH; s dil acid	
350	Bismuth oxide	Bi2O3	1304-76-3	465.959	yel monocl cry or powder	817	1890	8.9		i H2O; s acid	
351	Bismuth oxybromide	BiOBr	7787-57-7	304.883	col tetr cry			8.08		i H2O, EtOH; s acid	
352	Bismuth oxychloride	BiOCl	7787-59-9	260.432	wh tetr cry			7.72		i H2O	
353	Bismuth oxyiodide	BiOI	7787-63-5	351.883	red tetr cry	>300 dec		7.92		i H2O, EtOH, chl; s HCl	
354	Bismuth oxynitrate	BiONO3	10361-46-3	286.985	wh powder	260 dec		4.93		i H2O, EtOH; s acid	
355	Bismuth phosphate	BiPO4	10049-01-1	303.951	monocl cry			6.32		sl H2O, dil acid; i EtOH	
356	Bismuth potassium iodide	K4BiI7	41944-01-8	1253.704	red cry					reac H2O; s alk iodide soln	
357	Bismuth selenide	Bi2Se3	12068-69-8	654.84	blk hex cry	710 dec		7.5		i H2O	
358	Bismuth stannate pentahydrate	Bi2(SnO3)3  5H2O	12777-45-6	1008.162	wh cry					i H2O	
359	Bismuth subnitrate	Bi5O(OH)9(NO3)4	1304-85-4	1461.987	hyg cry pow	260 dec		4.928		i H2O, EtOH; s dil acid	
360	Bismuth sulfate	Bi2(SO4)3	7787-68-0	706.152	wh needles or powder	405 dec		5.08		reac H2O, EtOH	
361	Bismuth sulfide	Bi2S3	1345-07-9	514.159	blk-brn orth cry	850		6.78		i H2O; s acid	
362	Bismuth telluride	Bi2Te3	1304-82-1	800.76	gray hex plates	580		7.74		i H2O; s EtOH	
363	Bismuth tetroxide	Bi2O4	12048-50-9	481.959	red-oran powder	305		5.6		reac H2O	
364	Bismuth titanate	Bi4(TiO4)3	12048-51-0	1171.516	wh orth cry			7.85			
365	Bismuth tungstate	Bi2(WO4)3	13595-87-4	1161.47	wh pow						
366	Bismuth vanadate	BiVO4	14059-33-7	323.92	orth cry	trans 500		6.25		i H2O; s acid	
367	Boron	B	7440-42-8	10.811	blk rhomb cry	2075	4000	2.34		i H2O	
											
368	Diborane	B2H6	19287-45-7	27.67	col gas; flam	-165.5	-92.4	1.131 g/L		reac H2O	
369	Tetraborane(10)	B4H10	18283-93-7	53.323	col gas	-121	18	2.180 g/L		reac H2O	
370	Pentaborane(9)	B5H9	19624-22-7	63.126	flam liq	-46.6	60	0.6		reac hot H2O	
371	Pentaborane(11)	B5H11	18433-84-6	65.142	col liq; unstable	-122	65			reac H2O	
372	Hexaborane(10)	B6H10	23777-80-2	74.945	col liq	-62.3	108 dec	0.67		reac hot H2O	
373	Hexaborane(12)	B6H12	12008-19-4	76.961	col liq; unstable	-82.3	80			reac H2O	
374	Nonaborane(15)	B9H15	19465-30-6	112.418	col liq	2.6					
375	Decaborane(14)	B10H14	17702-41-9	122.221	wh orth cry	99.6	213	0.94		sl H2O; s EtOH, bz, CS2, ctc	
376	Borane carbonyl	BH3CO	13205-44-2	41.845	col gas	-137	-64	1.710 g/L		reac H2O	
377	Borazine	B3N3H6	6569-51-3	80.501	col liq	-58	53	0.824		reac H2O	
378	Boric acid (orthoboric acid)	H3BO3	10043-35-3	61.833	col tricl cry	170.9		1.5	5.8025	sl EtOH	
379	Metaboric acid ( form)	HBO2	13460-50-9	43.818	col orth cry; hyg	176		1.784		s H2O	
380	Metaboric acid ( form)	HBO2	13460-50-9	43.818	col monocl cry; hyg	201		2.045		s H2O	
381	Metaboric acid ( form)	HBO2	13460-50-9	43.818	col cub cry	236		2.487		s H2O	
382	Tetrafluoroboric acid	HBF4	16872-11-0	87.813	col liq		130 dec	1.8		vs H2O, EtOH	
383	Boron arsenide	BAs	12005-69-5	85.733	cub cry	920 dec		5.22			
384	Boron tribromide	BBr3	10294-33-4	250.523	col liq; hyg	-45	91	2.6		reac H2O, EtOH	
385	Boron carbide	B4C	12069-32-8	55.255	hard blk cry	2350	>3500	2.5		i H2O, acid	
386	Boron trichloride	BCl3	10294-34-5	117.169	col liq or gas	-107	12.65	4.789 g/L		reac H2O, EtOH	
387	Tetrachlorodiborane	B2Cl4	13701-67-2	163.433	col liq; flam	-92.6	65			reac H2O	
388	Boron trifluoride	BF3	7637-07-2	67.806	col gas	-126.8	-101	2.772 g/L		s H2O	
389	Tetrafluorodiborane	B2F4	13965-73-6	97.616	col gas; flam	-56	-34	3.990 g/L		reac H2O	
390	Boron triiodide	BI3	13517-10-7	391.524	wh needles	49.7	209.5	3.35		i H2O	
391	Boron nitride	BN	10043-11-5	24.818	wh powder; hex or cub cry	2966		2.18		i H2O, acid	
392	Boron oxide	B2O3	1303-86-2	69.62	col gl or hex cry; hyg	450		2.55	2.22	s EtOH	
393	Boron phosphide	BP	20205-91-8	41.785	red cub cry or powder	1125 dec				reac H2O, acid	
394	Boron sulfide	B2S3	12007-33-9	117.82	yel amorp solid	softens320		1.7			
395	Bromine	Br2	7726-95-6	159.808	red liq	-7.2	58.8	3.1028		sl H2O	
396	Bromic acid	HBrO3	7789-31-3	128.91	stable only in aq soln					s H2O	
397	Bromine oxide	Br2O	21308-80-5	175.807	brn solid	-17.5 dec					
398	Bromine dioxide	BrO2	21255-83-4	111.903	unstable yel cry	0 dec					
399	Bromine azide	BrN3	13973-87-0	121.924	red cry; exp	45	exp				
400	Bromine chloride	BrCl	13863-41-7	115.357	unstable red-brn gas	-66	5 dec	4.715 g/L		reac H2O; s eth, CS2	
401	Bromine fluoride	BrF	13863-59-7	98.902	unstable red-brn gas	-33	20 dec	4.043 g/L			
402	Bromine trifluoride	BrF3	7787-71-5	136.899	col hyg liq	8.77	125.8	2.803		reac H2O	
403	Bromine pentafluoride	BrF5	7789-30-2	174.896	col liq	-60.5	40.76	2.46		reac H2O (exp)	
404	Bromyl fluoride	BrO2F	22585-64-4	130.901	col liq	-9	50 dec			reac H2O	
405	Cadmium	Cd	7440-43-9	112.411	silv-wh metal	321.069	767	8.69		i H2O; reac acid	
406	Cadmium acetate	Cd(C2H3O2)2	543-90-8	230.5	col cry	255		2.34		s H2O, EtOH	
407	Cadmium acetate dihydrate	Cd(C2H3O2)2  2H2O	5743-04-4	266.529	wh cry	130 dec		2.01		vs H2O; s EtOH	
408	Cadmium antimonide	CdSb	12014-29-8	234.171	orth cry	456		6.92			
409	Cadmium arsenide	Cd3As2	12006-15-4	487.076	gray tetr cry	721		6.25			
410	Cadmium azide	Cd(N3)2	14215-29-3	196.451	yel-wh orth cry; exp	exp		3.24			
411	Cadmium bromide	CdBr2	7789-42-6	272.219	wh hex powder or flakes; hyg	568	844	5.19	11525	sl ace, eth	
412	Cadmium bromide tetrahydrate	CdBr2  4H2O	13464-92-1	344.281	wh-yel cry				11525	s ace, EtOH	
413	Cadmium carbonate	CdCO3	513-78-0	172.42	wh hex cry	500 dec		4.258		i H2O; s acid	
414	Cadmium chlorate dihydrate	Cd(ClO3)2  2H2O	22750-54-5*	315.343	col hyg cry	80 dec		2.28	2.64		
415	Cadmium chloride	CdCl2	10108-64-2	183.316	rhomb cry; hyg	564	960	4.08	12025	s ace; sl EtOH; i eth	
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
416	Cadmium chloride hemipentahydrate	CdCl2  2.5H2O	7790-78-5	228.354	wh rhomb leaflets			3.327	12025	s ace	
417	Cadmium chloride monohydrate	CdCl2  H2O	34330-64-8	201.331	wh cry				12025		
418	Cadmium chromate	CdCrO4	14312-00-6	228.405	yel orth cry			4.5		i H2O	
419	Cadmium cyanide	Cd(CN)2	542-83-6	164.445	wh cub cry			2.23	1.715		
420	Cadmium 2-ethylhexanoate	Cd(C8H15O2)2	2420-98-6	398.818	pow						
421	Cadmium fluoride	CdF2	7790-79-6	150.408	cub cry	1110	1748	6.33	4.3625	s acid; i EtOH	
422	Cadmium hydroxide	Cd(OH)2	21041-95-2	146.426	wh trig or hex cry	130 dec		4.79	0.000152	s dil acid	
423	Cadmium iodate	Cd(IO3)2	7790-81-0	462.216	wh powder			6.48	0.09125	s HNO3	
424	Cadmium iodide	CdI2	7790-80-9	366.22	hex flakes	387	742	5.64	86.225	s EtOH, eth, ace	
425	Cadmium metasilicate	CdSiO3	13477-19-5	188.495	grn monocl cry	1252		5.1			
426	Cadmium molybdate	CdMoO4	13972-68-4	272.35	col tetr cry	900 dec		5.4		i H2O; s acid	
427	Cadmium niobate	Cd2Nb2O7	12187-14-3	522.631	cub cry	1410		6.28		i H2O	
428	Cadmium nitrate	Cd(NO3)2	10325-94-7	236.42	wh cub cry; hyg	350		3.6	15625	s EtOH	
429	Cadmium nitrate tetrahydrate	Cd(NO3)2  4H2O	10022-68-1	308.482	col orth cry; hyg	59.5		2.45	15625	s EtOH, ace	
430	Cadmium oxalate	CdC2O4	814-88-0	200.43	wh solid			3.32	0.006025		
431	Cadmium oxalate trihydrate	CdC2O4  3H2O	20712-42-9	254.476	wh amorp powder	340 dec			0.006025	i EtOH; s dil acid	
432	Cadmium oxide	CdO	1306-19-0	128.41	brn cub cry		1559 sp	8.15		i H2O; s dil acid	
433	Cadmium perchlorate hexahydrate	Cd(ClO4)2  6H2O	10326-28-0	419.403	wh hex cry			2.37	191.525		
434	Cadmium phosphate	Cd3(PO4)2	13477-17-3	527.176	pow	1500				i H2O	
435	Cadmium phosphide	Cd3P2	12014-28-7	399.181	gr tetr needles	700		5.96		s dil HCl	
436	Cadmium selenate dihydrate	CdSeO4  2H2O	10060-09-0	291.4	orth cry	100 dec		3.62	70.525		
437	Cadmium selenide	CdSe	1306-24-7	191.37	wh cub cry	1240		5.81		i H2O	
438	Cadmium sulfate	CdSO4	10124-36-4	208.475	col orth cry	1000		4.69	76.725	i EtOH	
439	Cadmium sulfate monohydrate	CdSO4  H2O	7790-84-3	226.49	monocl cry	105		3.79	76.725		
440	Cadmium sulfate octahydrate	CdSO4  8H2O	15244-35-6	352.597	col monocl cry	40 dec		3.08	76.725		
441	Cadmium sulfide	CdS	1306-23-6	144.477	yel-oran cub cry	1750		4.83		i H2O; s acid	
442	Cadmium telluride	CdTe	1306-25-8	240.01	brn-blk cub cry	1042		6.2		i H2O, dil acid	
443	Cadmium tetrafluoroborate	Cd(BF4)2	14486-19-2	286.02	col hyg liq			1.6		vs H2O, EtOH	
444	Cadmium titanate	CdTiO3	12014-14-1	208.276	orth cry			6.5			
445	Cadmium tungstate	CdWO4	7790-85-4	360.25	wh monocl cry			8		i H2O, acid; s NH4OH	
446	Calcium	Ca	7440-70-2	40.078	silv-wh metal	842	1484	1.54		reac H2O; i bz	
447	Calcium acetate	Ca(C2H3O2)2	62-54-4	158.167	wh hyg cry	160 dec		1.5		s H2O; sl EtOH	
448	Calcium acetate monohydrate	Ca(C2H3O2)2  H2O	5743-26-0	176.182	wh needles or powder	150 dec				s H2O; sl EtOH	
449	Calcium aluminate	CaAl2O4	12042-68-1	158.039	wh monocl cry	1605		2.98		reac H2O	
450	Calcium aluminate ( form)	Ca3Al2O6	12042-78-3	270.193	wh cub cry; refr	1535		3.04		i H2O	
451	Calcium arsenate	Ca3(AsO4)2	7778-44-1	398.072	wh powder	dec		3.6	0.00362	s dil acid	
452	Calcium arsenite	CaAsO3	52740-16-6	162.998	wh pow					sl H2O; s acid	
453	Calcium boride	CaB6	12007-99-7	104.944	refrac solid	2235		2.49			
454	Calcium bromide	CaBr2	7789-41-5	199.886	rhomb cry; hyg	742	1815	3.38	15625	s EtOH, ace	
455	Calcium bromide hexahydrate	CaBr2  6H2O	13477-28-6	307.977	wh hyg powder	38 dec		2.29	15625		
456	Calcium carbide	CaC2	75-20-7	64.099	gray-blk orth cry	2300		2.22		reac H2O	
457	Calcium carbonate (aragonite)	CaCO3	471-34-1	100.087	wh orth cry or powder	825 dec		2.83	0.000662	s dil acid	
458	Calcium carbonate (calcite)	CaCO3	471-34-1	100.087	wh hex cry or powder	1330		2.71	0.000662	s dil acid	
459	Calcium chlorate	Ca(ClO3)2	10137-74-3	206.979	wh cry	340			19725		
460	Calcium chlorate dihydrate	Ca(ClO3)2  2H2O	10035-05-9	243.01	wh monocl cry; hyg	100 dec		2.711	19725	s EtOH	
											
461	Calcium chloride	CaCl2	10043-52-4	110.983	wh cub cry or powder; hyg	775	1935.5	2.15	81.325	vs EtOH	
462	Calcium chloride dihydrate	CaCl2  2H2O	10035-04-8	147.014	hyg flakes or powder	175 dec		1.85	81.325	vs EtOH	
463	Calcium chloride hexahydrate	CaCl2  6H2O	7774-34-7	219.074	wh hex cry; hyg	30 dec		1.71	81.325		
464	Calcium chloride monohydrate	CaCl2  H2O	13477-29-7	128.998	wh hyg cry	260 dec		2.24	81.325	s EtOH	
465	Calcium chromate dihydrate	CaCrO4  2H2O	13765-19-0	192.102	yel orth cry			2.5	13.22		
466	Calcium cyanamide	CaCN2	156-62-7	80.102	col hex cry	1340	subl	2.29		reac H2O	
467	Calcium cyanide	Ca(CN)2	592-01-8	92.112	wh rhomb cry; hyg					s H2O, EtOH	
468	Calcium dichromate trihydrate	CaCr2O7  3H2O	14307-33-6*	310.112	red-oran cry	100 dec		2.37		vs H2O; reac EtOH; i eth, ctc	
469	Calcium 2-ethylhexanoate	Ca(C8H15O2)2	136-51-6	326.485	pow						
470	Calcium fluoride	CaF2	7789-75-5	78.075	wh cub cry or powder	1418	2533.4	3.18	0.001625	sl acid	
471	Calcium formate	Ca(CHO2)2	544-17-2	130.113	orth cry	300 dec		2.02	16.62	i EtOH	
472	Calcium hexafluoro-2,4-pentanedioate	Ca(CF3COCHCOCF3)2	121012-90-6	454.18	pow	135					
473	Calcium hexafluorosilicate dihydrate	CaSiF6  2H2O	16925-39-6	218.185	col tetr cry			2.25	0.522	i ace; reac hot H2O	
474	Calcium hydride	CaH2	7789-78-8	42.094	gray orth cry or powder	1000		1.7		reac H2O, EtOH	
475	Calcium hydrogen phosphate	CaHPO4	7757-93-9	136.057	wh tricl cry	dec		2.92	0.0225	i EtOH	
476	Calcium hydrogen phosphate dihydrate	CaHPO4  2H2O	7789-77-7	172.088	monocl cry	100 dec		2.31	0.0225	i EtOH; s dil acid	
477	Calcium hydroxide	Ca(OH)2	1305-62-0	74.093	soft hex cry			2.2	0.1602	s acid	
478	Calcium hypochlorite	Ca(OCl)2	7778-54-3	142.982	pow	100		2.35			
479	Calcium hypophosphite	Ca(H2PO2)2	7789-79-9	170.055	wh monocl cry	300 dec				s H2O; i EtOH	
